Show System Menu,Alt+-,Window,In Windows
Word Completion,Alt+/,Edit,Editing Text
Terminal view insert,Alt+A,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+B,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+C,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+D,Terminal view commands,Terminal Typing Connected
Go To Next Unread Task,Alt+Down,Navigate,In Tasks View
Move Lines Down,Alt+Down,Text Editing,Editing Text
Terminal view insert,Alt+E,Terminal view commands,Terminal Typing Connected
Properties,Alt+Enter,File,In Windows
Terminal view insert,Alt+F,Terminal view commands,Terminal Typing Connected
Toggle Full Screen,Alt+F11,Window,In Dialogs and Windows
Next Page,Alt+F7,Navigate,In Windows
Terminal view insert,Alt+G,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+H,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+L,Terminal view commands,Terminal Typing Connected
Backward History,Alt+Left,Navigate,In Windows
Terminal view insert,Alt+N,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+P,Terminal view commands,Terminal Typing Connected
Next Sub-Tab,Alt+PageDown,Navigate,In Dialogs and Windows
Previous Sub-Tab,Alt+PageUp,Navigate,In Dialogs and Windows
Terminal view insert,Alt+R,Terminal view commands,Terminal Typing Connected
Forward History,Alt+Right,Navigate,In Windows
Quick Access,Alt+Right,Terminal view commands,Terminal Control in Focus
Terminal view insert,Alt+S,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+T,Terminal view commands,Terminal Typing Connected
Go To Previous Unread Task,Alt+Up,Navigate,In Tasks View
Maximize Active View or Editor,Alt+Up,Terminal view commands,Terminal Control in Focus
Move Lines Up,Alt+Up,Text Editing,Editing Text
Terminal view insert,Alt+V,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+W,Terminal view commands,Terminal Typing Connected
Terminal view insert,Alt+Y,Terminal view commands,Terminal Typing Connected
Previous,Ctrl+,Navigate,
Toggle Split Editor (Horizontal),Ctrl+_,Window,In Windows
Zoom Out,Ctrl+-,Text Editing,Editing Text
Zoom Out,Ctrl+-,View,In Windows
Create Object Operator,Ctrl+.,Edit,Editing PHP source
Next,Ctrl+.,Navigate,In Windows
Toggle Split Editor (Vertical),Ctrl+{,Window,In Windows
Toggle Comment,Ctrl+/,Edit,Editing PHP source
Toggle Comment,Ctrl+/,Script Source,Editing Script Source
Toggle Comment,Ctrl+/,Source,Editing JavaScript Source
Commit...,Ctrl+#,Git,In Windows
Zoom In,Ctrl++,Text Editing,Editing Text
